"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2014年1月14日","2,026.84","2,007.16","2,027.43","2,001.14","7.04B","0.86%"
"2014年1月13日","2,009.56","2,014.98","2,027.18","2,000.40","6.65B","-0.19%"
"2014年1月10日","2,013.30","2,023.54","2,029.30","2,008.01","7.56B","-0.71%"
"2014年1月9日","2,027.62","2,041.77","2,057.20","2,026.45","7.59B","-0.82%"
"2014年1月8日","2,044.34","2,047.26","2,062.95","2,037.11","7.16B","-0.15%"
"2014年1月7日","2,047.32","2,034.22","2,052.28","2,029.25","6.34B","0.08%"
"2014年1月6日","2,045.71","2,078.68","2,078.68","2,034.01","8.96B","-1.80%"
"2014年1月3日","2,083.14","2,101.54","2,102.17","2,075.90","8.45B","-1.24%"
"2014年1月2日","2,109.39","2,112.13","2,113.11","2,101.02","6.85B","-0.31%"
"2013年12月31日","2,115.98","2,090.68","2,120.27","2,087.42","8.05B","0.88%"
"2013年12月30日","2,097.53","2,108.88","2,112.01","2,095.06","7.41B","-0.18%"
"2013年12月27日","2,101.25","2,074.59","2,110.36","2,069.59","7.68B","1.36%"
"2013年12月26日","2,073.10","2,102.66","2,102.66","2,070.55","7.85B","-1.58%"
"2013年12月25日","2,106.35","2,095.02","2,107.23","2,088.30","6.51B","0.64%"
"2013年12月24日","2,092.91","2,094.07","2,111.81","2,079.81","7.03B","0.15%"
"2013年12月23日","2,089.71","2,089.54","2,099.52","2,068.54","6.81B","0.24%"
"2013年12月20日","2,084.79","2,128.37","2,131.74","2,082.85","8.68B","-2.02%"
"2013年12月19日","2,127.79","2,153.67","2,159.14","2,126.25","7.31B","-0.95%"
"2013年12月18日","2,148.29","2,150.41","2,156.59","2,142.62","6.42B","-0.13%"
"2013年12月17日","2,151.08","2,161.54","2,165.54","2,146.31","7.86B","-0.45%"
"2013年12月16日","2,160.86","2,197.23","2,201.70","2,159.99","10.14B","-1.60%"
"2013年12月13日","2,196.07","2,188.26","2,204.64","2,183.84","8.51B","-0.31%"
"2013年12月12日","2,202.80","2,199.32","2,214.55","2,194.90","8.61B","-0.06%"
"2013年12月11日","2,204.17","2,228.63","2,228.63","2,193.16","10.95B","-1.49%"
"2013年12月10日","2,237.49","2,239.86","2,250.50","2,231.68","10.90B","-0.03%"
"2013年12月9日","2,238.20","2,241.79","2,249.17","2,231.73","9.33B","0.05%"
"2013年12月6日","2,237.11","2,242.56","2,248.15","2,228.63","10.37B","-0.44%"
"2013年12月5日","2,247.06","2,252.72","2,255.26","2,239.14","12.20B","-0.21%"
"2013年12月4日","2,251.76","2,219.97","2,260.87","2,215.92","15.73B","1.31%"
"2013年12月3日","2,222.67","2,196.82","2,227.92","2,193.25","11.35B","0.69%"
"2013年12月2日","2,207.37","2,203.12","2,231.92","2,172.63","17.43B","-0.59%"
"2013年11月29日","2,220.50","2,221.62","2,224.94","2,212.26","10.70B","0.05%"
"2013年11月28日","2,219.37","2,204.38","2,234.39","2,202.62","13.45B","0.83%"
"2013年11月27日","2,201.07","2,181.73","2,207.62","2,176.85","11.54B","0.82%"
"2013年11月26日","2,183.07","2,184.33","2,192.58","2,176.18","10.05B","-0.14%"
"2013年11月25日","2,186.12","2,186.06","2,209.15","2,181.42","10.83B","-0.47%"
"2013年11月22日","2,196.38","2,206.47","2,211.07","2,188.77","11.39B","-0.43%"
"2013年11月21日","2,205.77","2,197.01","2,206.53","2,177.74","13.72B","-0.04%"
"2013年11月20日","2,206.61","2,201.47","2,207.10","2,186.64","11.90B","0.62%"
"2013年11月19日","2,193.12","2,198.32","2,203.30","2,186.11","12.51B","-0.19%"
"2013年11月18日","2,197.22","2,147.37","2,198.32","2,143.77","15.75B","2.87%"
"2013年11月15日","2,135.83","2,100.90","2,153.21","2,100.79","12.59B","1.68%"
"2013年11月14日","2,100.51","2,087.12","2,102.38","2,078.99","8.38B","0.60%"
"2013年11月13日","2,087.94","2,117.89","2,117.91","2,086.01","8.83B","-1.83%"
"2013年11月12日","2,126.77","2,110.72","2,127.94","2,108.40","7.94B","0.82%"
"2013年11月11日","2,109.47","2,103.30","2,117.28","2,093.63","6.97B","0.16%"
"2013年11月8日","2,106.13","2,120.92","2,128.58","2,103.51","8.31B","-1.09%"
"2013年11月7日","2,129.40","2,136.63","2,141.60","2,119.19","8.18B","-0.48%"
"2013年11月6日","2,139.61","2,149.39","2,166.17","2,138.78","10.05B","-0.82%"
"2013年11月5日","2,157.24","2,139.84","2,158.15","2,124.85","9.19B","0.35%"
"2013年11月4日","2,149.63","2,156.09","2,160.58","2,143.21","7.61B","0.00%"
"2013年11月1日","2,149.56","2,139.88","2,157.31","2,132.63","8.91B","0.37%"
"2013年10月31日","2,141.61","2,155.51","2,155.51","2,137.47","10.81B","-0.87%"
"2013年10月30日","2,160.46","2,126.69","2,161.93","2,121.84","11.96B","1.48%"
"2013年10月29日","2,128.86","2,135.23","2,163.66","2,093.20","14.31B","-0.23%"
"2013年10月28日","2,133.87","2,135.88","2,140.96","2,123.07","8.84B","0.04%"
"2013年10月25日","2,132.96","2,163.69","2,170.61","2,122.68","11.39B","-1.45%"
"2013年10月24日","2,164.32","2,178.82","2,183.41","2,159.87","10.30B","-0.86%"
"2013年10月23日","2,183.11","2,213.27","2,226.85","2,177.72","14.63B","-1.25%"
"2013年10月22日","2,210.65","2,227.34","2,227.34","2,204.24","14.91B","-0.83%"
"2013年10月21日","2,229.24","2,198.11","2,230.28","2,190.39","13.67B","1.62%"
"2013年10月18日","2,193.78","2,188.71","2,203.29","2,184.36","10.37B","0.24%"
"2013年10月17日","2,188.54","2,201.71","2,211.03","2,183.25","12.68B","-0.21%"
"2013年10月16日","2,193.07","2,228.11","2,228.11","2,183.40","15.46B","-1.81%"
"2013年10月15日","2,233.41","2,237.93","2,240.25","2,221.14","15.37B","-0.19%"
"2013年10月14日","2,237.77","2,232.22","2,242.98","2,226.40","16.60B","0.43%"
"2013年10月11日","2,228.15","2,201.41","2,228.87","2,200.53","15.69B","1.70%"
"2013年10月10日","2,190.93","2,214.40","2,214.59","2,186.48","14.98B","-0.94%"
"2013年10月9日","2,211.77","2,191.39","2,212.35","2,185.18","13.09B","0.62%"
"2013年10月8日","2,198.20","2,171.90","2,200.02","2,161.49","12.67B","1.08%"
"2013年9月30日","2,174.66","2,167.73","2,176.30","2,165.16","9.28B","0.68%"
"2013年9月27日","2,160.03","2,150.96","2,165.78","2,149.59","10.54B","0.20%"
"2013年9月26日","2,155.81","2,192.23","2,192.23","2,154.72","14.04B","-1.94%"
"2013年9月25日","2,198.52","2,206.22","2,217.97","2,193.72","16.02B","-0.41%"
"2013年9月24日","2,207.53","2,219.47","2,219.54","2,187.24","16.04B","-0.61%"
"2013年9月23日","2,221.04","2,199.36","2,223.07","2,198.34","13.32B","1.33%"
"2013年9月18日","2,191.85","2,185.94","2,195.90","2,172.04","11.51B","0.29%"
"2013年9月17日","2,185.56","2,230.39","2,230.93","2,184.92","15.45B","-2.05%"
"2013年9月16日","2,231.40","2,244.46","2,248.47","2,226.17","15.49B","-0.22%"
"2013年9月13日","2,236.22","2,251.46","2,259.42","2,228.48","17.20B","-0.86%"
